"GeneID","Count","Chr","Pops","Metapops","Stats","Evidence","SourceIDs","ratio","gene_biotype"
"ENSG00000177602",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_716,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"protein_coding"
"ENSG00000196689",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"protein_coding"
"ENSG00000197417",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"protein_coding"
"ENSG00000213977",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"protein_coding"
"ENSG00000240898",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"processed_pseudogene"
"ENSG00000261916",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"lncRNA"
"ENSG00000262248",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"processed_pseudogene"
"ENSG00000262304",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"protein_coding"
"ENSG00000262358",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_716,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"lncRNA"
"ENSG00000262692",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_716,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"lncRNA"
"ENSG00000262903",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"lncRNA"
"ENSG00000075826",10,"10","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","01_324,02_68,03_651,05_392,05_988,05_5040,05_7388,05_10264,05_10903,05_14770",10,"protein_coding"
"ENSG00000137727",10,"11","ACB,ASW,GWD,LWK,MSL,YRI,BSP","AFR","iHS,nSL","LD","05_425,05_1026,05_7409,05_10291,05_10928,05_14796,06_158,06_165,06_177,12_187",10,"protein_coding"
"ENSG00000155011",10,"4","ASW,YRI,ACB,ESN,GWD,LWK,MSL","AFR","FuLi_D,FuLi_F,iHS,nSL","DFS,LD","01_1875,02_66,05_184,05_785,05_4830,05_7176,05_10070,05_10683,05_14560,06_270",10,"protein_coding"
"ENSG00000255339",10,"10","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","01_324,02_68,03_651,05_392,05_988,05_5040,05_7388,05_10264,05_10903,05_14770",10,"protein_coding"
"ENSG00000263338",10,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",10,"lncRNA"
"ENSG00000122254",9,"16","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS","LD","02_75,05_512,05_1122,05_5184,05_7504,05_10386,05_11024,05_14887,12_193",9,"protein_coding"
"ENSG00000136153",9,"13","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_691,03_692,05_464,05_1068,05_5124,05_7458,05_10328,05_10973,05_14839",9,"protein_coding"
"ENSG00000166136",9,"10","YRI,ACB,ASW,ESN,GWD,MSL","AFR","iHS","LD","01_324,02_68,03_651,05_392,05_988,05_5040,05_7388,05_10903,05_14770",9,"protein_coding"
"ENSG00000233497",9,"11","ACB,ASW,ESN,GWD,LWK,MSL,YRI,BSP","AFR","iHS,nSL","LD","05_425,05_1026,05_5077,05_7409,05_10291,05_10928,05_14796,06_170,12_187",9,"processed_pseudogene"
"ENSG00000257759",9,"14","CDX,CHB,CHS,JPT,KHV","EAS","iHS","LD","05_2191,05_2192,05_3332,05_3333,05_3914,05_3915,05_9146,05_9752,05_9753",9,"lncRNA"
"ENSG00000261553",9,"13","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_691,03_692,05_464,05_1068,05_5124,05_7458,05_10328,05_10973,05_14839",9,"lncRNA"
"ENSG00000279415",9,"16","CHB,JPT,CHS,CDX,KHV,NA","EAS","iHS","LD","02_37,02_56,02_116,05_2220,05_3357,05_3945,05_9175,05_9783,12_315",9,"TEC"
"ENSG00000279620",9,"16","CHB,JPT,CHS,CDX,KHV,NA","EAS","iHS","LD","02_37,02_56,02_116,05_2220,05_3357,05_3945,05_9175,05_9783,12_315",9,"TEC"
"ENSG00000286043",9,"12","LWK,ACB,ASW,ESN,GWD,MSL,YRI,BSP","AFR","iHS","LD","01_566,05_445,05_1043,05_5099,05_7429,05_10308,05_10951,05_14818,12_212",9,"lncRNA"
"ENSG00000078328",48,"16","FIN,GBR,BEB,ITU,PJL,STU,ACB,ASW,CDX,CEU,CHB,CHS,ESN,GIH,GWD,IBS,JPT,KHV,LWK,MSL,PUR,TSI,YRI,NA","EUR,SAS,AFR,EAS,AMR,OCN","FayWu_H,iHS,Fst,XPEHH","HFDA,LD,PD","01_858,01_859,05_505,05_1114,05_1115,05_1628,05_1629,05_2218,05_2806,05_3355,05_3944,05_5177,05_5178,05_5803,05_6367,05_6895,05_6896,05_6897,05_7496,05_7497,05_7498,05_8091,05_8601,05_8602,05_8603,05_9170,05_9171,05_9172,05_9782,05_10379,05_10380,05_10381,05_11018,05_11019,05_12619,05_12620,05_13183,05_13184,05_13685,05_13686,05_13687,05_14266,05_14880,05_14881,05_14882,07_316,07_1021,12_1368",8,"protein_coding"
"ENSG00000101438",8,"20","YRI,ACB,ASW,ESN,GWD,MSL","AFR","iHS","LD","02_78,03_736,05_567,05_1181,05_5253,05_7559,05_11096,05_14942",8,"protein_coding"
"ENSG00000103489",16,"16","CDX,CHB,KHV,JPT,CHS,CHD,ASW,NA","EAS,AFR","iHS,nSL,Fst","LD,PD","01_867,02_37,02_56,02_116,05_2220,05_3357,05_3945,05_9175,05_9783,06_63,06_66,06_83,06_88,06_102,07_318,12_315",8,"protein_coding"
"ENSG00000127191",8,"9","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_645,05_369,05_965,05_5015,05_7362,05_10238,05_10879,05_14746",8,"protein_coding"
"ENSG00000133773",8,"12","YRI,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_675,03_676,05_1043,05_5098,05_7428,05_10307,05_10950,05_14817",8,"protein_coding"
"ENSG00000159069",8,"9","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_645,05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",8,"protein_coding"
"ENSG00000162992",8,"2","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_523,05_85,05_691,05_4745,05_7112,05_9995,05_10606,05_14483",8,"protein_coding"
"ENSG00000176919",8,"9","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_645,05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",8,"protein_coding"
"ENSG00000183625",8,"3","GWD,MSL,YRI,ACB,ASW,ESN,BSP","AFR","iHS","LD","01_1573,05_115,05_721,05_4778,05_7135,05_10636,05_14507,12_247",8,"protein_coding"
"ENSG00000188452",8,"2","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_523,05_85,05_691,05_4745,05_7112,05_9995,05_10606,05_14483",8,"protein_coding"
"ENSG00000196228",8,"2","CHB,CHS,JPT,KHV,NA","EAS","iHS,XPEHH","LD","02_104,03_52,05_2987,05_3541,05_8791,05_9370,12_292,12_1093",8,"protein_coding"
"ENSG00000199676",8,"20","CHB,JPT,CHS,KHV","EAS","iHS","LD","02_38,02_58,02_118,03_239,05_3424,05_4006,05_9252,05_9845",8,"misc_RNA"
"ENSG00000223873",8,"2","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_523,05_85,05_691,05_4745,05_7112,05_9995,05_10606,05_14483",8,"processed_pseudogene"
"ENSG00000225570",8,"2","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_523,05_85,05_691,05_4745,05_7112,05_9995,05_10606,05_14483",8,"lncRNA"
"ENSG00000228444",8,"13","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_691,05_464,05_1068,05_5124,05_7458,05_10328,05_10973,05_14839",8,"lncRNA"
"ENSG00000230902",8,"13","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_691,05_464,05_1068,05_5124,05_7458,05_10328,05_10973,05_14839",8,"processed_pseudogene"
"ENSG00000231249",8,"3","YRI,ACB,ASW,ESN,GWD,MSL,BSP","AFR","iHS","LD","03_535,05_107,05_713,05_4769,05_7127,05_10625,05_14501,12_197",8,"lncRNA"
"ENSG00000234274",8,"20","CHB,JPT,CHS,KHV","EAS","iHS","LD","02_38,02_58,02_118,03_239,05_3424,05_4006,05_9252,05_9845",8,"processed_pseudogene"
"ENSG00000234595",8,"2","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_523,05_85,05_691,05_4745,05_7112,05_9995,05_10606,05_14483",8,"lncRNA"
"ENSG00000234663",8,"2","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","02_63,05_84,05_690,05_4744,05_7111,05_9994,05_10605,05_14482",8,"lncRNA"
"ENSG00000235823",8,"10","YRI,ACB,ASW,ESN,LWK,MSL","AFR","iHS","LD","02_68,03_650,05_392,05_988,05_5040,05_10264,05_10903,05_14770",8,"lncRNA"
"ENSG00000241361",8,"1","ACB,ASW,ESN,GWD,LWK,YRI","AFR","iHS","LD","05_30,05_639,05_4671,05_4672,05_7041,05_9928,05_9929,05_14407",8,"transcribed_unprocessed_pseudogene"
"ENSG00000249330",8,"4","MSL,YRI,ACB,ASW,GWD,LWK","AFR","Tajima_D,iHS","DFS,LD","01_1791,03_557,05_172,05_777,05_7166,05_10058,05_10672,05_14545",8,"lncRNA"
"ENSG00000250159",8,"5","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_223,05_224,05_830,05_4878,05_7222,05_10117,05_10726,05_14607",8,"lncRNA"
"ENSG00000257191",8,"12","YRI,ACB,ASW,ESN,LWK,MSL","AFR","iHS","LD","02_70,03_669,05_443,05_1042,05_5094,05_10306,05_10946,05_14814",8,"lncRNA"
"ENSG00000261105",8,"13","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_691,05_464,05_1068,05_5124,05_7458,05_10328,05_10973,05_14839",8,"lncRNA"
"ENSG00000266507",8,"9","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_645,05_369,05_965,05_5015,05_7362,05_10238,05_10879,05_14746",8,"miRNA"
"ENSG00000266705",8,"2","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","02_63,05_84,05_690,05_4744,05_7111,05_9994,05_10605,05_14482",8,"miRNA"
"ENSG00000267337",8,"18","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_547,05_1159,05_5226,05_7533,05_10428,05_11067,05_11068,05_14919",8,"lncRNA"
"ENSG00000275927",8,"16","CHB,JPT,CHS,CDX,KHV","EAS","iHS","LD","02_37,02_56,02_116,05_2220,05_3357,05_3945,05_9175,05_9783",8,"lncRNA"
"ENSG00000277965",8,"20","YRI,ACB,ASW,ESN,GWD,MSL","AFR","iHS","LD","02_78,03_736,05_567,05_1181,05_5253,05_7559,05_11096,05_14942",8,"misc_RNA"
"ENSG00000288703",8,"3","YRI,ACB,ASW,ESN,GWD,MSL,BSP","AFR","iHS","LD","03_536,05_115,05_721,05_4778,05_7135,05_10636,05_14507,12_247",8,"lncRNA"
"ENSG00000289389",8,"2","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","02_63,05_84,05_690,05_4744,05_7111,05_9994,05_10605,05_14482",8,"lncRNA"
"ENSG00000290547",8,"1","ACB,ASW,ESN,GWD,LWK,YRI","AFR","iHS","LD","05_30,05_639,05_4671,05_4672,05_7041,05_9928,05_9929,05_14407",8,"lncRNA"
"ENSG00000100342",15,"22","YRI,ACB,ASW,CDX,CHB,CHS,ESN,GWD,KHV,LWK,MSL,BSP,NA","AFR,EAS","iHS,nSL","LD","03_751,05_589,05_1203,05_2303,05_3438,05_4028,05_5277,05_7576,05_9863,05_10470,05_11113,05_14965,06_273,12_241,12_335",7.5,"protein_coding"
"ENSG00000286147",15,"4","ESN,ACB,MSL,YRI,ASW,GBR,GWD,IBS,LWK","AFR,EUR","FuLi_F,Tajima_D,iHS","DFS,LD","01_1873,01_1874,02_66,03_564,05_184,05_785,05_4830,05_6079,05_7176,05_7769,05_10070,05_10682,05_10683,05_14559,05_14560",7.5,"lncRNA"
"ENSG00000067715",22,"12","ASW,LWK,YRI,ACB,CEU,ESN,GBR,GWD,IBS,MSL,MXL,BSP","AFR,EUR,AMR","Tajima_D,iHS,Fst","DFS,LD,PD","01_563,01_564,02_70,03_669,03_670,03_671,03_672,05_443,05_1042,05_2736,05_5094,05_5095,05_6302,05_7426,05_8016,05_10306,05_10946,05_11511,05_14813,05_14814,07_629,12_205",7.33333333333333,"protein_coding"
"ENSG00000004939",7,"17","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_535,05_1143,05_5209,05_7518,05_10414,05_11052,05_14910",7,"protein_coding"
"ENSG00000051596",7,"5","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_232,05_836,05_4886,05_7227,05_10123,05_10734,05_14614",7,"protein_coding"
"ENSG00000054179",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",7,"protein_coding"
"ENSG00000074356",7,"17","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897",7,"protein_coding"
"ENSG00000099194",7,"10","YRI,ACB,ASW,ESN,LWK,MSL","AFR","iHS","LD","02_68,05_392,05_988,05_5040,05_10264,05_10902,05_14770",7,"protein_coding"
"ENSG00000101307",7,"20","YRI,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_733,05_1175,05_5245,05_7553,05_10446,05_11089,05_14935",7,"protein_coding"
"ENSG00000103769",7,"15","ESN,ACB,ASW,LWK,MSL,YRI","AFR","FuLi_D,FuLi_F,iHS","DFS,LD","01_823,05_496,05_1105,05_5164,05_10364,05_11007,05_14870",7,"protein_coding"
"ENSG00000107223",7,"9","ASW,YRI,ACB,ESN,GWD,LWK","AFR","FuLi_F,Tajima_D,iHS","DFS,LD","01_2716,03_645,05_369,05_965,05_5015,05_7362,05_10238",7,"protein_coding"
"ENSG00000107281",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",7,"protein_coding"
"ENSG00000107317",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",7,"protein_coding"
"ENSG00000107331",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",7,"protein_coding"
"ENSG00000108309",7,"17","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_535,05_1143,05_5209,05_7518,05_10414,05_11052,05_14910",7,"protein_coding"
"ENSG00000108312",7,"17","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_535,05_1143,05_5209,05_7518,05_10414,05_11052,05_14910",7,"protein_coding"
"ENSG00000109189",7,"4","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_175,05_778,05_4822,05_7168,05_10062,05_10674,05_14549",7,"protein_coding"
"ENSG00000112679",7,"6","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_237,05_838,05_4888,05_7231,05_10125,05_10737,05_14618",7,"protein_coding"
"ENSG00000120729",7,"5","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_224,05_830,05_4878,05_7222,05_10117,05_10726,05_14607",7,"protein_coding"
"ENSG00000127081",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_354,05_951,05_5006,05_7353,05_10231,05_10869,05_14737",7,"protein_coding"
"ENSG00000128284",14,"22","JPT,CHB,ACB,ASW,CDX,CHS,ESN,GWD,KHV,LWK,MSL,YRI,BSP,NA","EAS,AFR","iHS","LD","03_242,05_589,05_1203,05_2303,05_3438,05_4028,05_5277,05_7576,05_9863,05_10470,05_11113,05_14965,12_241,12_335",7,"protein_coding"
"ENSG00000136929",7,"9","YRI,ACB,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_638,05_358,05_5008,05_7355,05_10232,05_10871,05_14738",7,"protein_coding"
"ENSG00000136932",7,"9","YRI,ACB,ESN,GWD,LWK,MSL","AFR","iHS","LD","03_638,05_358,05_5008,05_7355,05_10232,05_10871,05_14738",7,"protein_coding"
"ENSG00000137265",7,"6","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_237,05_838,05_4888,05_7231,05_10125,05_10737,05_14618",7,"protein_coding"
"ENSG00000143546",7,"1","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_33,05_643,05_4678,05_7044,05_9932,05_10542,05_14411",7,"protein_coding"
"ENSG00000143556",7,"1","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_33,05_643,05_4678,05_7044,05_9932,05_10542,05_14411",7,"protein_coding"
"ENSG00000147234",7,"X","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_608,05_1230,05_5300,05_7604,05_10501,05_11144,05_14985",7,"protein_coding"
"ENSG00000148362",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",7,"protein_coding"
"ENSG00000151470",7,"4","ASW,ESN,GWD,LWK,MSL,BPY,BSP","AFR","iHS","LD","05_787,05_4836,05_7184,05_10077,05_10688,12_176,12_266",7,"protein_coding"
"ENSG00000154608",7,"4","ACB,ESN,GWD,LWK,MSL,YRI,BSP","AFR","iHS","LD","05_187,05_4833,05_7180,05_10075,05_10686,05_14564,12_194",7,"transcribed_unprocessed_pseudogene"
"ENSG00000157399",7,"X","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_592,05_1208,05_5280,05_7583,05_10476,05_11118,05_14969",7,"protein_coding"
"ENSG00000160058",7,"1","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_12,05_624,05_4659,05_7022,05_9910,05_10523,05_14394",7,"protein_coding"
"ENSG00000163823",7,"3","GWD,MSL,YRI,ACB,ASW,ESN","AFR","iHS","LD","01_1573,05_115,05_721,05_4778,05_7135,05_10636,05_14507",7,"protein_coding"
"ENSG00000164742",7,"7","ACB,ASW,GWD,LWK,MSL,YRI,BSP","AFR","iHS,XPEHH","LD","05_287,05_886,05_7276,05_10167,05_10790,05_14663,12_975",7,"protein_coding"
"ENSG00000168830",7,"6","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_257,05_852,05_4912,05_7248,05_10145,05_10758,05_14637",7,"protein_coding"
"ENSG00000169583",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",7,"protein_coding"
"ENSG00000173302",7,"2","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_71,05_683,05_4734,05_7099,05_9975,05_10595,05_14470",7,"protein_coding"
"ENSG00000175894",7,"21","ACB,ASW,ESN,GWD,LWK,YRI,BSP","AFR","iHS","LD","05_583,05_1195,05_5273,05_7572,05_10466,05_14961,12_283",7,"protein_coding"
"ENSG00000177943",7,"9","ASW,YRI,ACB,ESN,GWD,LWK","AFR","FuLi_F,Tajima_D,iHS","DFS,LD","01_2716,03_645,05_369,05_965,05_5015,05_7362,05_10238",7,"protein_coding"
"ENSG00000178171",7,"2","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_71,05_683,05_4734,05_7099,05_9975,05_10595,05_14470",7,"protein_coding"
"ENSG00000180539",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",7,"lncRNA"
"ENSG00000180549",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",7,"protein_coding"
"ENSG00000184330",7,"1","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_33,05_643,05_4678,05_7044,05_9932,05_10542,05_14411",7,"protein_coding"
"ENSG00000184925",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",7,"protein_coding"
"ENSG00000187554",7,"1","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_51,05_661,05_4698,05_7066,05_9944,05_10557,05_14431",7,"protein_coding"
"ENSG00000187984",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_354,05_951,05_5006,05_7353,05_10231,05_10869,05_14737",7,"transcribed_unprocessed_pseudogene"
"ENSG00000196696",7,"16","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_518,05_1129,05_5192,05_7508,05_10395,05_11032,05_14893",7,"lncRNA"
"ENSG00000197364",7,"1","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_33,05_643,05_4678,05_7044,05_9932,05_10542,05_14411",7,"unprocessed_pseudogene"
"ENSG00000197956",7,"1","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_33,05_643,05_4678,05_7044,05_9932,05_10542,05_14411",7,"protein_coding"
"ENSG00000198155",7,"4","ACB,MSL,YRI,ASW,ESN,GWD","AFR","iHS","LD","01_1735,05_154,05_766,05_4806,05_7157,05_10660,05_14531",7,"transcribed_unprocessed_pseudogene"
"ENSG00000198454",7,"9","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_369,05_966,05_5015,05_7362,05_10238,05_10879,05_14746",7,"lncRNA"
"ENSG00000199901",7,"4","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_175,05_778,05_4822,05_7168,05_10062,05_10674,05_14549",7,"misc_RNA"
