"ID","Chr","Start","End","Pops","Metapops","Stats","Evidence","Source","GenesAnnotation"
"31","10",103087185,103277605,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","NT5C2"
"32","4",48805212,48861817,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","OCIAD1"
"33","X",67949349,68433913,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","OPHN1"
"34","11",54706832,54707902,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","OR4A5"
"35","11",49952391,49953419,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","OR4C13"
"36","11",48263861,48264778,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","OR4X1"
"37","11",56027654,56038191,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","OR5AS1"
"38","11",56093308,56094240,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","OR8I2"
"39","11",56346039,56346998,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","OR8K1"
"40","13",24420931,24512778,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","PARP4"
"41","17",58755854,58985179,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","PPM1E"
"42","2",95274449,95291308,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","PROM2"
"43","X",37349309,37457292,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","PRRG1"
"44","11",47418769,47426473,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","PSMC3"
"45","1",174159410,174995308,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","RABGAP1L"
"46","17",58692573,58735611,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","RAD51C"
"47","11",47437764,47449143,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","RAPSN"
"48","14",59595976,59870776,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","RTN1"
"49","1",173903800,173917327,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","SERPINC1"
"50","22",31488688,31618588,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","SFI1"
"51","X",81202102,81298547,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","SH3BGRL"
"52","11",47407132,47416496,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","SLC39A13"
"53","8",49909789,50796692,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","SNTG1"
"54","11",47354860,47378547,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","SPI1"
"55","X",7147237,7804358,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","STS"
"56","6",44809317,45377953,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","SUPT3H"
"57","17",58556678,58692055,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","TEX14"
"58","20",34704339,34713439,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","TP53INP2"
"59","15",42738730,42920809,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","TTBK2"
"60","15",42942897,43106113,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","UBR1"
"61","10",73995193,74121363,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","VCL"
"62","1",173868082,173903547,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","ZBTB37"
"63","2",95165432,95184317,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","ZNF2"
"64","10",38094334,38150293,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","ZNF37A"
"65","2",95122087,95165668,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","ZNF514"
"66","19",37411155,37469275,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","ZNF569"
"67","19",37467585,37488652,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","ZNF570"
